,PDB,SP
18318,5GT3,P20671
18319,5GTA,Q8Z2X8
18320,5GTE,P59082
18321,5GTU,Q92609
18322,5GU5,Q9CXE7
18323,5GUF,Q9YF05
18324,5GUH,A8D8P8
18325,5GUI,Q9FI56
18326,5GUJ,P05096
18327,5GUP,O79874
18328,5GUQ,A0A0H3G0N3
18329,5GV0,P11438
18330,5GV3,P17047
18331,5GVA,O75717
18332,5GVC,O95985
18333,5GVI,P62983
18334,5GVT,P26262
18335,5GVV,A0A0H2URJ6
18336,5GVX,P9WFZ5
18337,5GVY,A2WPN7
18338,5GVZ,A5F686
18339,5GW0,P57768
18340,5GWN,Q9P258
18341,5GWO,Q6L5H6
18342,5GWZ,P0C6V6
18343,5GXE,Q5LS56
18344,5GXH,Q8TEQ6
18345,5GXU,Q9SUM3
18346,5GYD,Q92328
18347,5GYQ,A3EXG6
18348,5GZ4,A0A2D0TC04
18349,5GZ8,Q3TUA9
18350,5GZA,Q5U3W1
18351,5GZB,Q15561
18352,5GZX,Q52086
18353,5H07,Q8NFZ5
18354,5H0P,Q96C19
18355,5H12,Q51334
18356,5H16,B0VTH7
18357,5H1B,Q06609
18358,5H1N,P0A8K7
18359,5H1Q,Q9U3N4
18360,5H1S,P27684
18361,5H1X,P17955
18362,5H22,P07901
18363,5H23,P0DOK1
18364,5H28,P35845
18365,5H2C,P38881
18366,5H2G,Q8NP73
18367,5H34,Q74MZ1
18368,5H38,P90463
18369,5H3C,O23530
18370,5H3E,P54071
18371,5H3G,Q84SC3
18372,5H3I,Q5VRM0
18373,5H3J,Q8R2X8
18374,5H3O,Q03611
18375,5H3W,A4VWG9
18376,5H46,A0R692
18377,5H48,P63182
18378,5H4B,Q8BME9
18379,5H4U,D3GDK4
18380,5H4V,Q5H2R3
18381,5H4Y,O00445
18382,5H54,Q6CUC3
18383,5H57,P27788
18384,5H5G,Q2FZ89
18385,5H5M,P90947
18386,5H5P,Q3UR85
18387,5H5U,P36675
18388,5H5V,P24216
18389,5H5Y,A0A023YYV9
18390,5H5Z,Q91DR9
18391,5H60,A0A0H3NK84
18392,5H61,P0DUJ8
18393,5H6I,P09879
18394,5H6J,Q9U8Q4
18395,5H6O,Q9KVM1
18396,5H6Z,Q9Y7Q6
18397,5H7J,O59521
18398,5H7T,Q5NTA4
18399,5H7W,A0A2I4HXH5
18400,5H8T,P09455
18401,5H8V,O23813
18402,5H9G,B6JLE2
18403,5H9M,O43255
18404,5H9U,Q72I53
18405,5H9V,Q5D1E7
18406,5HA4,B7GY71
18407,5HA6,Q9UQF0
18408,5HAF,Q8ZNG2
18409,5HAX,G0S7B6
18410,5HB7,G0S156
18411,5HBL,P55734
18412,5HCA,P83003
18413,5HCC,"A0A146B485,"
18414,5HCD,"A0A158RFT4,"
18415,5HCE,"A0A141SFN4,"
18416,5HCI,P47122
18417,5HCP,P80408
18418,5HD9,P11014
18419,5HDA,P12978
18420,5HDE,Q05209
18421,5HDI,P9WPL1
18422,5HDM,P42799
18423,5HDT,Q9NTI5
18424,5HDW,Q9UK99
18425,5HEB,Q792Q4
18426,5HES,Q9NYL2
18427,5HFT,A6T9C8
18428,5HGX,P34736
18429,5HGZ,Q9H7X0
18430,5HIY,P0C6Y4
18431,5HJ0,Q9P802
18432,5HJ7,P9WPW9
18433,5HJI,Q9V2G1
18434,5HJN,Q9VIH7
18435,5HJZ,P71650
18436,5HK0,P9WII3
18437,5HK1,Q99720
18438,5HK8,O23512
18439,5HKF,P9WHK9
18440,5HKQ,"A0A1S4NYE3,"
18441,5HLE,P56536
18442,5HM3,O53580
18443,5HM9,Q2W8Q2
18444,5HMO,P79114
18445,5HMQ,Q88JU3
18446,5HN1,Q9NZH6
18447,5HNM,Q47746
18448,5HO1,W6KHH6
18449,5HOD,Q969G2
18450,5HP5,Q9ULC6
18451,5HP7,Q94JQ4
18452,5HPF,Q43992
18453,5HQG,Q8NHY2
18454,5HQT,A0A0H3JGH6
18455,5HR5,P26285
18456,5HR9,P42494
18457,5HRJ,Q2VL90
18458,5HS5,Q2G0D1
18459,5HS7,O34844
18460,5HSA,F2QY27
18461,5HSI,J7GQ11
18462,5HSM,P9WME9
18463,5HSV,P62938
18464,5HT1,Q6FMA3
18465,5HT6,Q8IZD2
18466,5HTF,Q8Y759
18467,5HTG,P28870
18468,5HTJ,Q31KC7
18469,5HTK,O60825
18470,5HTR,Q8L794
18471,5HU4,Q8Y8H5
18472,5HUQ,F9USS9
18473,5HUT,Q92410
18474,5HVM,Q4WLM9
18475,5HVN,Q5NFS1
18476,5HVO,Q4WHW0
18477,5HVQ,Q8WV22
18478,5HW4,P67087
18479,5HWB,Q4WLV6
18480,5HWE,Q8RSQ2
18481,5HWI,P32656
18482,5HWT,A5W4E3
18483,5HX7,Q8Y653
18484,5HXD,P0ACV7
18485,5HXN,B8XA40
18486,5HY0,E3JD18
18487,5HY3,P39232
18488,5HY6,P62925
18489,5HYD,Q8WXG8
18490,5HYG,F2RB83
18491,5HYW,Q5VMP0
18492,5HYX,Q3E880
18493,5HYZ,Q53K16
18494,5HZ0,Q6DSU1
18495,5HZ1,Q6ID76
18496,5HZ2,P23608
18497,5HZ3,B3H5J1
18498,5HZD,Q8WQX5
18499,5HZV,P17813
18500,5HZX,Q7ZWC3
18501,5I01,Q5F5E3
18502,5I08,Q0ZME7
18503,5I0C,P39274
18504,5I1M,P32563
18505,5I20,D7A5Q8
18506,5I21,A6VD57
18507,5I2M,P0C2X0
18508,5I2T,P25635
18509,5I32,Q41951
18510,5I3E,Q2T8B0
18511,5I3L,Q92784
18512,5I41,P45870
18513,5I4A,H2J4R4
18514,5I4C,P0DMC7
18515,5I4Q,P0DSI1
18516,5I55,P0C805
18517,5I5D,P40709
18518,5I5H,P0AD27
18519,5I5N,Q80A33
18520,5I61,Q50LE4
18521,5I68,P04842
18522,5I6C,Q07307
18523,5I6X,P31645
18524,5I72,O73557
18525,5I77,O74706
18526,5I7C,P54623
18527,5I7Z,Q9BUF7
18528,5I81,P17405
18529,5I92,P48247
18530,5I9E,P60011
18531,5IA7,P61960
18532,5IBW,P42522
18533,5IBX,Q04JH4
18534,5ICC,Q5C9L7
18535,5IDI,B9K7M5
18536,5IE0,Q9SMT7
18537,5IET,P9WKX3
18538,5IFE,Q7RTV0
18539,5IFG,P67701
18540,5IFN,Q8WXF1
18541,5IFP,A2QAN3
18542,5IFS,Q9BZE9
18543,5IGO,P43254
18544,5IHB,P20138
18545,5IHE,Q9V2F3
18546,5IHW,Q6GBS4
18547,5II0,P30988
18548,5II4,Q8WR62
18549,5IJ0,P68363
18550,5IJH,Q9UBH6
18551,5IJI,P27896
18552,5IJL,Q9V2F4
18553,5IJN,O75694
18554,5IJW,A0R1X0
18555,5IJZ,P31026
18556,5IKB,Q01812
18557,5IKF,O74808
18558,5IKK,P56523
18559,5IKO,P11216
18560,5IL0,Q9HCE5
18561,5IL9,Q9FL12
18562,5IN2,Q07449
18563,5IN3,P07902
18564,5INB,Q69YH5
18565,5INO,O95551
18566,5IPF,P09383
18567,5IPP,O34600
18568,5IQQ,Q9Y580
18569,5IQR,P0AG20
18570,5IR4,Q9I4G8
18571,5IRC,P81128
18572,5IRI,Q5RJI5
18573,5IRL,G1T469
18574,5IRP,P94494
18575,5IRX,P0CH43
18576,5IRY,Q08554
18577,5IS1,Q2G2U4
18578,5ISV,P0A946
18579,5ISW,P0C062
18580,5IT5,Q5SLC9
18581,5IT6,Q5ZHQ2
18582,5IT7,P38665
18583,5IT9,P27069
18584,5ITV,P39640
18585,5IU0,O03042
18586,5IVA,Q9I5U2
18587,5IVW,P18074
18588,5IW7,Q07381
18589,5IW9,P09425
18590,5IWK,Q9R186
18591,5IWX,Q06756
18592,5IWZ,Q9CUU3
18593,5IXC,Q86XP0
18594,5IXD,Q8IU57
18595,5IXM,Q8ZIK3
18596,5IXO,P47735
18597,5IXQ,Q8LAD7
18598,5IYA,P19388
18599,5IYV,Q29PV4
18600,5IZD,Q9HK01
18601,5IZE,P23456
18602,5IZH,Q6GWS6
18603,5IZK,P57772
18604,5IZN,Q8D8W6
18605,5IZU,Q6PFD5
18606,5J0A,Q96KB5
18607,5J11,Q9HC73
18608,5J13,Q969D9
18609,5J1B,P32566
18610,5J1J,G3XD64
18611,5J1S,Q8NFQ8
18612,5J28,P46013
18613,5J2S,A4KWA1
18614,5J30,P0A7I0
18615,5J43,Q0T963
18616,5J44,Q8VSL2
18617,5J46,A0A0H3KB98
18618,5J4A,H9T8G6
18619,5J4Z,O78749
18620,5J5P,Q59961
18621,5J5T,Q8IVH8
18622,5J67,O75129
18623,5J76,Q39487
18624,5J7E,O95259
18625,5J81,P41266
18626,5J83,B5ZZ34
18627,5J8E,Q86VS8
18628,5J8J,P53973
18629,5J8K,P24959
18630,5J8Q,O32164
18631,5J9B,O43099
18632,5J9I,Q9KMA5
18633,5J9K,Q2RBP2
18634,5J9Q,P47128
18635,5J9S,Q03111
18636,5JA8,Q9KMA6
18637,5JAY,Q146K3
18638,5JBL,P06807
18639,5JBT,Q06481
18640,5JCA,Q8U195
18641,5JCD,Q8H8C7
18642,5JCG,P30048
18643,5JCI,Q652L6
18644,5JCO,Q71U36
18645,5JCP,Q8WWN8
18646,5JCV,Q8Y588
18647,5JDK,P40847
18648,5JEX,Q8E378
18649,5JFF,P20605
18650,5JFK,Q9FII5
18651,5JFQ,A0A0A7GEY4
18652,5JGH,Q02486
18653,5JHE,P47103
18654,5JHO,Q2Y0W8
18655,5JI1,O08689
18656,5JI2,P0A6H6
18657,5JI7,Q96S59
18658,5JIA,Q6VN19
18659,5JIF,O92367
18660,5JIG,O94580
18661,5JIU,Q61496
18662,5JJ4,Q9GZX7
18663,5JJ6,Q23544
18664,5JJT,Q84XU2
18665,5JJV,O25386
18666,5JK2,O83732
18667,5JK5,Q54XS1
18668,5JKI,O34349
18669,5JKN,Q8N5J2
18670,5JLC,P50859
18671,5JLH,P63261
18672,5JM0,P22855
18673,5JME,Q1L777
18674,5JNM,Q2FW96
18675,5JNO,Q5T5X7
18676,5JNP,Q84ZN6
18677,5JO7,Q39978
18678,5JOO,Q0HD59
18679,5JOU,A7LXT0
18680,5JOW,A7LXT8
18681,5JOZ,A7LXU0
18682,5JP0,A7LXU3
18683,5JP5,P47967
18684,5JPH,Q5HH30
18685,5JPO,P29692
18686,5JQK,A0A144A2H0
18687,5JSQ,Q07010
18688,5JT8,A1KXI0
18689,5JTA,P32356
18690,5JUD,Q7U0E1
18691,5JVJ,P22221
18692,5JVM,O35066
18693,5JVN,Q42736
18694,5JVR,P28741
18695,5JW4,Q6DQ18
18696,5JWG,F8WQK8
18697,5JX2,Q08255
18698,5JXC,F6SEU4
18699,5JXD,Q921Z5
18700,5JXF,A6GWM2
18701,5JY7,A0R6D9
18702,5JYG,Q2W8Q6
18703,5JYQ,"A0A0B5AC95,"
18704,5JYS,P47032
18705,5JYX,A3MSP1
18706,5JZX,P9WJL9
18707,5K0S,P59078
18708,5K0Y,O75821
18709,5K0Z,P00337
18710,5K16,O75317
18711,5K19,Q8TBZ3
18712,5K1H,P55884
18713,5K22,Q8NE01
18714,5K24,Q32NY4
18715,5K26,Q16584
18716,5K2Z,Q8L940
18717,5K39,Q06853
18718,5K3G,O62140
18719,5K3J,O62137
18720,5K4B,K7IM66
18721,5K59,Q2FWP0
18722,5K5H,P49711
18723,5K6U,Q3UH53
18724,5K6X,Q6V4S5
18725,5K7B,A8MW95
18726,5K89,P23297
18727,5K8B,Q8EEB1
18728,5K8C,Q8EEB0
18729,5K8E,G2QG48
18730,5K8K,P44046
18731,5K8M,D3WZ85
18732,5K8R,Q9Y5G1
18733,5K8Y,Q8VBX4
18734,5K9X,Q5ZVY3
18735,5KAR,P58242
18736,5KAZ,O14796
18737,5KB5,P55264
18738,5KBE,Q43965
18739,5KBW,Q9X1G6
18740,5KBX,Q07084
18741,5KC1,Q05789
18742,5KC5,P23435
18743,5KC8,O43424
18744,5KC9,Q61627
18745,5KCI,Q02754
18746,5KDI,Q96JA3
18747,5KDR,Q2FXM7
18748,5KDV,Q9I5W4
18749,5KF4,Q9P218
18750,5KGF,P0C0S8
18751,5KGL,G5EFZ1
18752,5KGS,P0A4X7
18753,5KH2,Q97SR4
18754,5KHE,P07566
18755,5KHO,Q5U651
18756,5KHS,A0A0H3KP92
18757,5KI9,Q8WTQ1
18758,5KIA,Q2T9E1
18759,5KIN,Q97P33
18760,5KIV,P67344
18761,5KJ4,Q99PJ1
18762,5KJS,Q9FI78
18763,5KJX,P10644
18764,5KK2,Q71RJ2
18765,5KK4,C0HK49
18766,5KKP,Q96PZ0
18767,5KL1,P25724
18768,5KLP,Q6VE93
18769,5KMY,Q5X5Q1
18770,5KN4,C3SBW0
18771,5KN5,P01135
18772,5KNE,P31539
18773,5KNL,O94609
18774,5KO7,F4KU78
18775,5KO9,Q96FZ2
18776,5KOD,O81829
18777,5KOE,Q9SWH5
18778,5KOU,Q82446
18779,5KOW,Q5YTV5
18780,5KQ0,Q3JNW6
18781,5KQO,Q8DBF5
18782,5KRB,Q64249
18783,5KS2,P9WJ63
18784,5KS7,Q9KHT9
18785,5KSD,P19456
18786,5KSO,Q8IXI2
18787,5KSQ,Q9PF20
18788,5KSW,Q9CFW8
18789,5KT0,Q3MFY8
18790,5KTE,Q9RTP8
18791,5KTG,O08734
18792,5KU5,P77485
18793,5KU7,V9M2S5
18794,5KUT,Q8IXI1
18795,5KVM,Q8K209
18796,5KVR,P0ACL9
18797,5KXF,Q8LPQ9
18798,5KXH,P70375
18799,5KXI,P43681
18800,5KXJ,Q8ZMX9
18801,5KXQ,Q91ZW2
18802,5KZM,Q5NE80
18803,5KZW,P10253
18804,5L0T,Q8NBL1
18805,5L12,A3NWD9
18806,5L16,Q4Q0M0
18807,5L19,P48023
18808,5L1O,E3VWI3
18809,5L25,Q8VYR7
18810,5L2P,B5BLW5
18811,5L2Q,Q8N2I9
18812,5L2R,E9AE57
18813,5L2X,Q96LW4
18814,5L3S,P27414
18815,5L3X,Q9H3P2
18816,5L46,Q9UI17
18817,5L4K,O00231
18818,5L4S,Q6WAU1
18819,5L5K,Q80UG2
18820,5L6H,P05759
18821,5L6S,P0A6V1
18822,5L71,O70325
18823,5L76,Q9UDR5
18824,5L7A,Q12824
18825,5L7K,Q7Z494
18826,5L7L,A0A1C7D1B7
18827,5L7S,D0NBE6
18828,5L7Z,P28750
18829,5L81,Q8K1B8
18830,5L83,M1C146
18831,5L8I,P51161
18832,5L8X,Q58261
18833,5L9W,Q5P5G2
18834,5LAE,Q8C0L6
18835,5LAL,Q9SUQ8
18836,5LB7,Q8CJ27
18837,5LBD,Q9SZC9
18838,5LBK,B9DFX7
18839,5LBM,P0AAP3
18840,5LC2,Q92520
18841,5LC3,Q91VU0
18842,5LC5,P52505
18843,5LCB,P0A314
18844,5LD9,Q8U1Y4
18845,5LDF,P0A1P7
18846,5LDH,P00336
18847,5LE0,Q8TDZ2
18848,5LEF,P97329
18849,5LEG,P12060
18850,5LER,P04737
18851,5LEV,Q9H3H5
18852,5LEW,P9WNT7
18853,5LF2,P15800
18854,5LF5,P20917
18855,5LF8,P0C025
18856,5LF9,Q9BRQ3
18857,5LFN,O15335
18858,5LGD,P16671
18859,5LGG,Q9H1A4
18860,5LHE,Q9YGB1
18861,5LHN,P06869
18862,5LHW,Q15468
18863,5LI6,P9WPN9
18864,5LIH,Q02156
18865,5LJ8,P75831
18866,5LJM,Q9UM82
18867,5LJX,P08668
18868,5LKB,P36156
18869,5LKM,Q8DRP0
18870,5LL1,Q6DG85
18871,5LL6,Q03195
18872,5LLM,Q15758
18873,5LM7,P03045
18874,5LN1,P38886
18875,5LN8,P33406
18876,5LNB,P40537
18877,5LNK,Q02377
18878,5LNT,O80448
18879,5LNX,P45857
18880,5LOH,Q96GX5
18881,5LOL,Q9FRL8
18882,5LP7,P45855
18883,5LPE,O43240
18884,5LPH,O60308
18885,5LQ5,A3PC74
18886,5LQ6,P0A2N2
18887,5LRU,Q6GQQ9
18888,5LSB,Q02554
18889,5LSI,Q9H410
18890,5LSJ,Q03188
18891,5LSQ,P32021
18892,5LST,O94761
18893,5LSU,O96028
18894,5LT9,Q9HW91
18895,5LTC,Q9KR64
18896,5LTD,Q5QA94
18897,5LTL,O15467
18898,5LTU,Q9NZJ9
18899,5LTV,Q9HW93
18900,5LTX,G3XD24
18901,5LTY,Q99626
18902,5LU0,P56463
18903,5LUI,E9LVH8
18904,5LUJ,E9LVH9
18905,5LUQ,P78527
18906,5LUT,Q9I920
18907,5LUX,P47902
18908,5LUZ,Q9BYT8
18909,5LV1,A3PDP9
18910,5LVT,Q9CI64
18911,5LW3,Q9ZFH0
18912,5LWE,P51686
18913,5LWY,Q86V24
18914,5LWZ,Q4WMJ8
18915,5LXE,Q0RVH7
18916,5LXG,Q96A54
18917,5LXN,Q9Y6A5
18918,5LXU,Q9SNB4
18919,5LY9,P26331
18920,5LYP,Q12118
18921,5LZ1,Q9H3P7
18922,5LZK,Q5T0W9
18923,5LZN,Q80VC9
18924,5LZS,P68105
18925,5LZW,Q9Y450
18926,5M01,P01899
18927,5M06,P9WI69
18928,5M0W,Q3UPR0
18929,5M1F,A0A1L4BKS3
18930,5M1M,Q6I7B9
18931,5M1T,Q9I310
18932,5M1X,P22336
18933,5M2E,Q02NB5
18934,5M2G,O68252
18935,5M2P,P72777
18936,5M31,P0DV57
18937,5M3I,O53605
18938,5M45,Q8RM04
18939,5M48,Q05543
18940,5M4V,A0A1Z0YU59
18941,5M54,Q5T5Y3
18942,5M58,Q9F8T9
18943,5M5I,P24339
18944,5M6B,C7FF05
18945,5M7R,O60502
18946,5M8H,Q4FQF7
18947,5M8L,P17643
18948,5M9B,Q05098
18949,5M9E,Q09933
18950,5MAL,Q93MW7
18951,5MAQ,M9XB82
18952,5MAW,P02968
18953,5MC7,P61923
18954,5MDT,Q9UTE3
18955,5MDX,P04778
18956,5ME4,O69061
18957,5ME5,Q00LS8
18958,5ME9,P47112
18959,5MEK,Q9C9C9
18960,5MF1,A4GRC6
18961,5MG3,P0AG90
18962,5MG8,O13710
18963,5MGA,A0Q7Q2
18964,5MGI,Q848S6
18965,5MGR,Q12918
18966,5MGZ,Q9L9F3
18967,5MH5,Q2VEQ7
18968,5MHF,Q80UM7
18969,5MHJ,P08392
18970,5MIX,Q01151
18971,5MJ7,Q9XWN7
18972,5MJI,K4REZ6
18973,5MJO,Q8DJT8
18974,5MKD,P39632
18975,5MKT,P06281
18976,5MKW,Q5FWF4
18977,5ML0,Q9JHD1
18978,5MLG,P08424
18979,5MLK,P96890
18980,5MLT,A0A0H2UMY0
18981,5MLZ,Q8U4M3
18982,5MM2,Q27YG7
18983,5MM8,Q2FXC7
18984,5MMH,P24734
18985,5MMJ,P19954
18986,5MNT,Q8LTE2
18987,5MOG,A2XDA1
18988,5MP0,Q8IU60
18989,5MP4,Q12335
18990,5MPF,Q9NZI5
18991,5MPM,P11607
18992,5MPO,O96033
18993,5MPT,Q65Z23
18994,5MPW,O49429
18995,5MQ1,Q9NPI1
18996,5MQ8,P37574
18997,5MQZ,O29329
18998,5MR1,Q8WWN9
18999,5MR4,O00451
19000,5MR7,Q6ISB3
19001,5MR9,Q99748
19002,5MRC,P32344
19003,5MRU,P03038
19004,5MRV,Q8IVL8
19005,5MRW,P03959
19006,5MS3,O60259
19007,5MSC,Q6RKB1
19008,5MSJ,P97371
19009,5MSK,P97372
19010,5MSM,P49956
19011,5MSN,P25559
19012,5MSO,B2HN69
19013,5MSP,E5XP76
19014,5MTJ,Q04736
19015,5MTV,Q9EQP2
19016,5MTW,P9WJA7
19017,5MTZ,P36159
19018,5MUU,P07579
19019,5MUX,P45859
19020,5MV7,Q6PIF6
19021,5MV9,Q13402
19022,5MVI,Q8Z903
19023,5MVR,O05515
19024,5MVX,Q9NR61
19025,5MW5,Q9Y219
19026,5MW8,Q6P1C1
19027,5MX0,Q06828
19028,5MY0,P19096
19029,5MYJ,A2RIX0
19030,5MZ6,Q18235
19031,5MZE,P53368
19032,5MZF,F1P963
19033,5MZH,Q3Y8L7
19034,5MZN,Q00416
19035,5N06,P35590
19036,5N07,Q9L132
19037,5N0K,P13635
19038,5N13,Q5A4W8
19039,5N1J,Q81EJ6
19040,5N1W,O93309
19041,5N2E,P20509
19042,5N2P,P50382
19043,5N2S,P30542
19044,5N3U,P07125
19045,5N4B,"A0A067SLB9,"
19046,5N4F,H2E7Q8
19047,5N56,P0A0J3
19048,5N57,Q2G261
19049,5N69,Q9BE39
19050,5N6H,P23930
19051,5N6M,Q9ZI86
19052,5N6N,P29311
19053,5N6Y,P16855
19054,5N74,P32526
19055,5N77,P0ABI4
19056,5N7H,Q8N4S9
19057,5N7L,P25060
19058,5N7Z,Q06994
19059,5N81,P09095
19060,5N86,Q8WWQ8
19061,5N8N,Q9I749
19062,5N8P,P35828
19063,5N9G,A6H8Y1
19064,5N9J,P87310
19065,5N9M,A0A0H2WZ38
19066,5N9Y,P64423
19067,5NA1,Q2FZV7
19068,5NAA,P0ADC3
19069,5NAF,Q9Z2D6
19070,5NAZ,P29400
19071,5NB0,Q01955
19072,5NB1,P53420
19073,5NB2,P08572
19074,5NB8,Q9QZQ5
19075,5NBT,Q9WV86
19076,5NBZ,P35272
19077,5NC2,P33379
19078,5NCB,P0DPQ7
19079,5NCC,A0A248QE08
19080,5NCN,P22204
19081,5ND8,Q2G055
19082,5NF2,B2RHG1
19083,5NF4,B2RHG3
19084,5NFG,Q9XFX4
19085,5NFI,B2RHG2
19086,5NFJ,Q7L0Y3
19087,5NFN,P0C870
19088,5NGJ,Q6QGE2
19089,5NGM,Q2YZB6
19090,5NGO,Q8RY59
19091,5NH0,P0C6X5
19092,5NH1,P57764
19093,5NHX,P24017
19094,5NIJ,Q39119
19095,5NJ3,Q9UNQ0
19096,5NJ5,P0AFK0
19097,5NJ8,P35869
19098,5NJJ,P49757
19099,5NJT,P28368
19100,5NKK,O62301
19101,5NKS,O14531
19102,5NKX,Q4KRW3
19103,5NKZ,O60015
19104,5NL0,P22844
19105,5NL2,Q8BHY3
19106,5NM5,P81947
19107,5NMO,P51834
19108,5NMR,Q6PHU5
19109,5NMS,P31170
19110,5NN7,F5HFA1
19111,5NNF,Q9UIG0
19112,5NNZ,Q8N136
19113,5NOD,Q8DNS0
19114,5NOE,Q9YGB4
19115,5NOG,P68137
19116,5NOI,Q9HCK4
19117,5NP0,Q13315
19118,5NQA,Q8N4A0
19119,5NQP,P13415
19120,5NQS,Q94AI7
19121,5NQV,Q9ZSY8
19122,5NR1,A0A0H3CDY2
19123,5NRH,A3NZL3
19124,5NRO,P08622
19125,5NSJ,Q911P0
19126,5NSR,P06223
19127,5NTB,P86242
19128,5NUE,P93819
19129,5NUG,Q14204
19130,5NV1,Q60598
19131,5NV3,P27997
19132,5NV8,Q88LS1
19133,5NVK,O75420
19134,5NVL,Q6Y7W6
19135,5NW4,F2Z5G5
19136,5NX4,D5SL78
19137,5NX6,B5GMG2
19138,5NXL,D1A7C3
19139,5NZB,A4K9Z8
19140,5O06,B1MDL6
19141,5O0K,Q99PI8
19142,5O0U,P83476
19143,5O0Y,Q86UE8
19144,5O1L,Q3L8N0
19145,5O1R,Q9JPP1
19146,5O1V,Q9BYP7
19147,5O2J,O69052
19148,5O33,P97924
19149,5O3P,P73954
19150,5O4P,G3I8R9
19151,5O5J,A0R215
19152,5O5O,P0A894
19153,5O60,A0QS62
19154,5O6A,Q01299
19155,5O6B,P07271
19156,5O6C,O75592
19157,5O71,Q9UHP3
19158,5O7B,Q55535
19159,5O7X,Q04712
19160,5O7Y,D4N500
19161,5O84,Q9M9F1
19162,5O85,Q13888
19163,5O8F,P31644
19164,5O8O,P24391
19165,5O8Y,P58663
19166,5O9H,P21730
19167,5O9J,Q58192
19168,5O9K,P63028
19169,5O9V,Q96NN9
19170,5O9Z,Q9Y333
19171,5OA3,P41214
19172,5OAR,Q8J2T0
19173,5OAS,Q9I636
19174,5OAT,D6WMX4
19175,5OB5,P19875
19176,5OBU,P47547
19177,5OC0,P0ABE5
19178,5OC9,Q9NW15
19179,5OCH,Q9NUT2
19180,5OCN,O15353
19181,5OCW,P9WFY1
19182,5OD2,Q58999
19183,5ODS,Q68FD5
19184,5ODU,Q7N561
19185,5OE3,Q9I4X3
19186,5OEC,Q13637
19187,5OEM,Q61179
19188,5OF1,P54507
19189,5OF9,Q9Y6X9
19190,5OGE,P40107
19191,5OGX,P0DPQ8
19192,5OGZ,P26208
19193,5OHC,K5BDL0
19194,5OHE,A7HD43
19195,5OHM,P0CG64
19196,5OHO,O00267
19197,5OHX,Q2V0C9
19198,5OI7,Q6P2H3
19199,5OJ2,Q0WYX8
19200,5OJ3,M1VJU3
19201,5OJ5,P0A444
19202,5OJG,G5EGA6
19203,5OJH,Q7CPI7
19204,5OJK,Q8N2Q7
19205,5OJS,P38811
19206,5OK8,P0A0V1
19207,5OKL,P43652
19208,5OL8,Q96QE5
19209,5OLL,P25810
19210,5OLM,P19474
19211,5OMB,Q6CUV9
19212,5OMD,Q04377
19213,5ONA,P22745
19214,5ONJ,O31815
19215,5ONS,O43583
19216,5ONU,P0C6Q6
19217,5OOL,O14561
19218,5OOO,P21698
19219,5OPT,Q4DZ41
19220,5OQD,Q24459
19221,5OQL,G0S3T2
19222,5OQM,Q06213
19223,5OQN,P38170
19224,5OQR,Q9Y7R3
19225,5OQT,A5A616
19226,5OR1,Q8ZRP0
19227,5ORE,P0A4F8
19228,5OS9,O82799
19229,5OSA,P62812
19230,5OSG,Q9NE83
19231,5OU5,P16243
19232,5OVJ,P71534
19233,5OVQ,O67024
19234,5OVV,Q8K1Q4
19235,5OW3,F4JP36
19236,5OWV,"A0A0H3PJL7,"
19237,5OX7,P22747
19238,5OY0,P12975
19239,5OYN,Q9A9Z2
19240,5PAL,P30563
19241,5QGG,P0C024
19242,5QQD,O60229
19243,5QQQ,P22557
19244,5QRF,O15178
19245,5QSM,Q8WVM7
19246,5R68,O95619
19247,5R7Y,P0DTD1
19248,5RVW,Q96HY7
19249,5RW2,Q92835
19250,5SUI,P53136
19251,5SUP,Q07478
19252,5SV0,P0ABU7
19253,5SV2,P9WF91
19254,5SVD,P47077
19255,5SVG,Q94BT6
19256,5SVI,Q14149
19257,5SVJ,P56373
19258,5SWC,Q54735
19259,5SWJ,P0A1C1
19260,5SWU,B0XRM8
19261,5SWV,Q9P7R0
19262,5SXP,Q14155
19263,5SY1,F1RAX4
19264,5SYN,O95372
19265,5SYX,Q939D2
19266,5SZD,O66512
19267,5SZG,Q7RTP6
19268,5SZH,O94851
19269,5SZQ,Q91XY4
19270,5T03,A0MGZ7
19271,5T0R,P46096
19272,5T12,P37177
19273,5T13,P0A3V4
19274,5T1A,P41597
19275,5T1J,Q9JKD8
19276,5T1Q,Q2G222
19277,5T2A,Q25278
19278,5T2K,A0A0K2H9D8
19279,5T2S,P06243
19280,5T4O,P0AB98
19281,5T4X,O55057
19282,5T50,P86993
19283,5T57,F8GV06
19284,5T5H,Q4DZP2
19285,5T5I,O74031
19286,5T6J,P40568
19287,5T6P,P15941
19288,5T6Q,P15128
19289,5T6R,P38861
19290,5T6U,P55097
19291,5T77,B7IE18
19292,5T7D,P16426
19293,5T8S,Q5FAC0
19294,5T8U,Q8IEG9
19295,5T91,P37965
19296,5T9J,Q17RS7
19297,5T9P,P53927
19298,5TBX,Q14011
19299,5TBY,P10916
19300,5TBZ,P0AFG1
19301,5TC4,P13995
19302,5TCD,Q6UWV6
19303,5TCS,P40460
19304,5TD7,F1QCV2
19305,5TDH,P54311
19306,5TDL,P22167
19307,5TEA,Q9K0G4
19308,5TEJ,Q8DEM0
19309,5TF2,Q9HCU5
19310,5TFM,Q9H251
